number,survey,category_1,category_2
541,Studi Tentang Tantangan dan Inovasi dalam Pengelolaan Keuangan Publik,Politik dan Pemerintahan,Keuangan
542,Studi Tentang Hubungan Antara Agama dan Kekuasaan Politik,Agama dan Kepercayaan,Politik dan Pemerintahan
543,Evaluasi Kebijakan dan Praktik Pelestarian Lingkungan dalam Industri Pariwisata,Pariwisata,Lingkungan dan Konservasi
544,Penilaian Peran Pendidikan dalam Pengembangan Industri Pariwisata,Pariwisata,Pendidikan
545,Persepsi dan Preferensi Terhadap Teknologi Pemantauan Kesehatan dalam Konteks Olahraga dan Rekreasi,Olahraga dan Rekreasi,Teknologi Informasi dan Komunikasi
546,Tanggapan Masyarakat terhadap Integrasi Seni dan Budaya dalam Pengembangan Infrastruktur Transportasi dan Logistik,Seni dan Budaya,Transportasi dan Logistik
547,Tinjauan terhadap Regulasi Hukum dalam Mengatasi Praktik Keuangan yang Merugikan Konsumen,Keuangan,Hukum
548,Persepsi Masyarakat Terhadap Integritas Budaya dan Nilai-nilai Agama,Agama dan Kepercayaan,Seni dan Budaya
549,Studi Tentang Tantangan dan Inovasi dalam Pendidikan di Era Digital,Politik dan Pemerintahan,Pendidikan
550,Persepsi Masyarakat terhadap Peran Transportasi dalam Pertumbuhan Ekonomi dan Investasi,Transportasi dan Logistik,Bisnis dan Industri
551,Penilaian Terhadap Kontribusi Agama dalam Pembentukan Kebijakan Publik,Agama dan Kepercayaan,Politik dan Pemerintahan
552,Partisipasi Masyarakat dalam Program Konservasi Lingkungan,Lingkungan dan Konservasi,Lingkungan dan Konservasi
553,Survei Tanggapan Masyarakat terhadap Program Tanggung Jawab Sosial Perusahaan (CSR),Bisnis dan Industri,Sosial dan Kemanusiaan
554,Strategi Pengembangan Infrastruktur Teknologi Informasi dan Komunikasi untuk Mendukung Pertanian dan Perikanan,Teknologi Informasi dan Komunikasi,Pertanian dan Perikanan
555,Hubungan Antara Seni dan Budaya dengan Kesehatan Mental,Seni dan Budaya,Kesehatan
556,Analisis Keuangan dalam Pengelolaan Usaha Pertanian dan Perikanan,Pertanian dan Perikanan,Keuangan
557,Partisipasi Masyarakat dalam Upaya Konservasi Lingkungan dan Perlindungan Satwa Liar,Sosial dan Kemanusiaan,Lingkungan dan Konservasi
558,Pengaruh Teknologi Informasi dan Komunikasi dalam Meningkatkan Partisipasi Masyarakat dalam Kegiatan Konservasi Lingkungan,Lingkungan dan Konservasi,Teknologi Informasi dan Komunikasi
559,Studi Tentang Inovasi Bisnis dalam Industri Hiburan Olahraga dan Rekreasi,Bisnis dan Industri,Olahraga dan Rekreasi
560,Persepsi Masyarakat terhadap Kinerja Lembaga Penegak Hukum dalam Mengatasi Tindak Korupsi di Indonesia,Hukum,Politik dan Pemerintahan
561,Survei Kepuasan Masyarakat terhadap Kinerja Pemerintah dan Kepemimpinan Politik,Politik dan Pemerintahan,Politik dan Pemerintahan
562,Tinjauan terhadap Etika dan Tanggung Jawab Hukum dalam Praktik Seni dan Budaya: Persepsi dan Pengalaman Pelaku Seni terkait Etika Profesi dan Isu Hukum yang Muncul,Hukum,Seni dan Budaya
563,Persepsi Guru dan Siswa tentang Kesehatan Lingkungan di Sekolah/Universitas: Studi Kasus pada Faktor-Faktor yang Mempengaruhi Kondisi Kesehatan di Lingkungan Pendidikan,Pendidikan,Kesehatan
564,Pengaruh Pengetahuan tentang Sistem Politik dan Pemerintahan terhadap Partisipasi Politik Siswa: Studi Kasus pada Program Pendidikan Politik di Sekolah,Pendidikan,Politik dan Pemerintahan
565,Dampak Penggunaan Teknologi Informasi dan Komunikasi dalam Peningkatan Partisipasi dan Keterlibatan Siswa dalam Pendidikan,Teknologi Informasi dan Komunikasi,Pendidikan
566,Dukungan dan Partisipasi Politik melalui Kegiatan Seni dan Budaya,Seni dan Budaya,Politik dan Pemerintahan
567,Persepsi Masyarakat tentang Peran Teknologi Informasi dan Komunikasi dalam Meningkatkan Aksesibilitas dan Kualitas Pendidikan,Teknologi Informasi dan Komunikasi,Pendidikan
568,Pengaruh Pendidikan Agama terhadap Sikap Religiusitas dan Nilai-nilai Moral Siswa: Studi Kasus pada Program Pendidikan Agama di Sekolah,Pendidikan,Agama dan Kepercayaan
569,Analisis Dampak Kebijakan Politik terhadap Pertanian dan Perikanan Berkelanjutan,Pertanian dan Perikanan,Politik dan Pemerintahan
570,Aksesibilitas Layanan Kesehatan dalam Pendekatan Sosial dan Kemanusiaan,Sosial dan Kemanusiaan,Kesehatan
571,Isu Hukum dalam Olahraga dan Rekreasi Massal atau Publik,Olahraga dan Rekreasi,Hukum
572,Dampak Praktik Keuangan dan Investasi terhadap Perlindungan Lingkungan dan Konservasi Sumber Daya Alam,Lingkungan dan Konservasi,Keuangan
573,Penetrasi Teknologi Informasi dalam Praktik Keagamaan,Agama dan Kepercayaan,Teknologi Informasi dan Komunikasi
574,Peran Hukum Internasional dalam Mendukung Konservasi Alam dan Perlindungan Spesies Terancam Punah,Lingkungan dan Konservasi,Hukum
575,Tanggung Jawab Hukum dalam Pelaksanaan Organisasi dan Pengelolaan Fasilitas Olahraga dan Rekreasi,Olahraga dan Rekreasi,Hukum
576,Persepsi Wisatawan terhadap Keberlanjutan Lingkungan dalam Industri Pariwisata,Pariwisata,Pariwisata
577,Strategi Pemasaran Bisnis Pariwisata yang Berkelanjutan dan Berwawasan Lingkungan,Pariwisata,Bisnis dan Industri
578,Pengetahuan dan Perilaku Masyarakat tentang Pencegahan Penyakit Menular: Survei pada Penduduk Kota Tegal,Kesehatan,Kesehatan
579,Penggunaan Aplikasi Mobile dalam Meningkatkan Pengalaman Wisatawan di Destinasi Pariwisata,Pariwisata,Teknologi Informasi dan Komunikasi
580,Penilaian Tingkat Kesadaran Masyarakat akan Pentingnya Pendidikan Pertanian dan Perikanan,Pertanian dan Perikanan,Pendidikan
581,Kontribusi Organisasi Sipil dalam Mempengaruhi Kebijakan Pemerintah untuk Meningkatkan Kesejahteraan Sosial dan Kemanusiaan,Sosial dan Kemanusiaan,Politik dan Pemerintahan
582,Peran Seni dan Budaya dalam Mendorong Kesadaran Sosial dan Kemanusiaan,Seni dan Budaya,Sosial dan Kemanusiaan
583,Efek Relaksasi Musik dan Seni Visual terhadap Kesehatan dan Stres,Seni dan Budaya,Kesehatan
584,Tinjauan atas Implementasi Kebijakan Hukum: Penilaian Efektivitas dan Dampak Kebijakan Hukum dalam Memenuhi Kebutuhan dan Tuntutan Masyarakat,Hukum,Hukum
585,Keamanan dan Privasi dalam Penggunaan Teknologi Informasi dan Komunikasi oleh Masyarakat,Sosial dan Kemanusiaan,Teknologi Informasi dan Komunikasi
586,Tinjauan atas Implementasi Program Pendidikan Seni dan Budaya di Sekolah: Penilaian Efektivitas dan Dampak pada Kreativitas dan Ekspresi Siswa,Pendidikan,Seni dan Budaya
587,Dampak Teknologi Informasi dan Komunikasi terhadap Model Bisnis dan Strategi Pemasaran dalam Industri Digital,Teknologi Informasi dan Komunikasi,Bisnis dan Industri
588,Kontribusi Inovasi Teknologi Informasi dan Komunikasi dalam Mendukung Pemantauan dan Perlindungan Lingkungan,Lingkungan dan Konservasi,Teknologi Informasi dan Komunikasi
589,Evaluasi Implementasi Kurikulum Berbasis Kompetensi: Persepsi Guru dan Siswa terkait Relevansi dan Efektivitas Kurikulum,Pendidikan,Pendidikan
590,Evaluasi Efektivitas Sistem Informasi dan Komunikasi dalam Mendukung Pertanian dan Perikanan Berkelanjutan,Pertanian dan Perikanan,Teknologi Informasi dan Komunikasi
591,Evaluasi Perlindungan Hukum terhadap Pariwisata Berkelanjutan: Persepsi dan Pengalaman Pihak-pihak yang Terlibat dalam Industri Pariwisata,Hukum,Pariwisata
592,Hubungan antara Partisipasi dalam Olahraga dan Rekreasi dengan Kesehatan Fisik,Olahraga dan Rekreasi,Kesehatan
593,Penilaian Terhadap Peran Pemerintah dalam Penegakan Hukum dan Pencegahan Korupsi,Politik dan Pemerintahan,Hukum
594,Penilaian Tingkat Literasi Keuangan pada Kalangan Pelajar dan Mahasiswa,Keuangan,Pendidikan
595,Analisis Risiko Kesehatan dalam Industri Transportasi dan Logistik: Studi Kasus pada Pekerja di Sektor Transportasi dan Logistik,Kesehatan,Transportasi dan Logistik
596,Evaluasi Peran Pendidikan dalam Membangun Nilai-nilai Agama dan Kepercayaan di Sekolah: Persepsi Guru dan Siswa tentang Pentingnya Pembelajaran Agama dalam Pendidikan,Pendidikan,Agama dan Kepercayaan
597,Analisis Persepsi Masyarakat tentang Keterkaitan Antara Keuangan dan Kehidupan Spiritual,Keuangan,Agama dan Kepercayaan
598,Hubungan Antara Partisipasi dalam Olahraga dan Rekreasi dengan Kualitas Pembelajaran,Olahraga dan Rekreasi,Pendidikan
599,Tinjauan Persepsi dan Preferensi Wisatawan terhadap Kesehatan dan Keamanan dalam Pariwisata,Pariwisata,Kesehatan
600,Penilaian Terhadap Peran Pemerintah dalam Pengendalian Pencemaran dan Perubahan Iklim,Politik dan Pemerintahan,Lingkungan dan Konservasi
601,Persepsi Masyarakat tentang Peran Hukum dalam Perlindungan Lingkungan dan Konservasi Alam,Lingkungan dan Konservasi,Hukum
602,Analisis Dampak Pertanian dan Perikanan terhadap Konservasi Sumber Daya Alam dan Keanekaragaman Hayati,Pertanian dan Perikanan,Lingkungan dan Konservasi
603,Penilaian Terhadap Peran Perusahaan dalam Mendorong Gaya Hidup Sehat di Tempat Kerja,Bisnis dan Industri,Kesehatan
604,Peran Sekolah dalam Mendorong Pendidikan Lingkungan dan Kesadaran Konservasi di Komunitas,Lingkungan dan Konservasi,Pendidikan
605,Penilaian Peraturan Hukum terkait Perlindungan Lingkungan dalam Konteks Pariwisata,Pariwisata,Hukum
606,Penilaian Terhadap Peran Bisnis dalam Mendukung Kreativitas dan Pengembangan Seni dan Budaya,Bisnis dan Industri,Seni dan Budaya
607,Persepsi dan Sikap Masyarakat terhadap Isu Hukum Kesehatan Kontemporer: Studi Kasus tentang Dukungan dan Tantangan terhadap Kebijakan Hukum Kesehatan yang Kontroversial,Hukum,Kesehatan
608,Kualitas Pelayanan Kesehatan dalam Penanganan Korban Bencana: Penilaian Dari Perspektif Sosial dan Kemanusiaan,Kesehatan,Sosial dan Kemanusiaan
609,Persepsi Masyarakat tentang Partisipasi Lokal dalam Konservasi Lingkungan di Destinasi Pariwisata,Lingkungan dan Konservasi,Pariwisata
610,Evaluasi Efektivitas Peraturan Hukum dalam Perlindungan Lingkungan dan Konservasi: Penilaian Dampak dan Tantangan dalam Penegakan Hukum terhadap Pelanggaran Lingkungan,Hukum,Lingkungan dan Konservasi
611,Persepsi Masyarakat tentang Kontribusi Seni dan Budaya terhadap Masalah Sosial dan Kemanusiaan,Seni dan Budaya,Sosial dan Kemanusiaan
612,Peran Pendidikan Hukum dalam Mengembangkan Pemahaman tentang Hak dan Kewajiban Warga Negara: Tinjauan terhadap Persepsi Guru dan Siswa tentang Kontribusi Pendidikan Hukum dalam Menumbuhkan Kesadaran Hukum,Hukum,Pendidikan
613,Persepsi Masyarakat terhadap Partisipasi Sosial dan Kegiatan Sosial di Masyarakat,Politik dan Pemerintahan,Sosial dan Kemanusiaan
614,Persepsi dan Sikap Masyarakat terhadap Etika dan Moral dalam Sistem Hukum: Studi Kasus tentang Dukungan dan Tantangan terhadap Etika Profesi Hukum,Hukum,Hukum
615,Persepsi Masyarakat tentang Hubungan Antara Lingkungan dan Kesejahteraan Sosial dalam Konteks Konservasi,Lingkungan dan Konservasi,Sosial dan Kemanusiaan
616,Studi Tentang Inovasi Teknologi dalam Industri Kesehatan dan Pengaruhnya terhadap Pasien,Bisnis dan Industri,Kesehatan
617,Implementasi Seni dan Budaya dalam Diplomasi Politik dan Hubungan Internasional,Seni dan Budaya,Politik dan Pemerintahan
618,Kontribusi Kesehatan Manusia dalam Pelestarian Lingkungan dan Konservasi Alam,Lingkungan dan Konservasi,Kesehatan
619,Evaluasi Kualitas dan Keamanan Produk Pertanian dan Perikanan: Perspektif Konsumen dan Implikasinya terhadap Kesehatan Masyarakat,Kesehatan,Pertanian dan Perikanan
620,Persepsi Masyarakat terhadap Kebijakan dan Dampak Lingkungan dari Industri Transportasi dan Logistik,Bisnis dan Industri,Transportasi dan Logistik
621,Dampak Teknologi Informasi dan Komunikasi terhadap Sistem Hukum dan Perubahan dalam Praktik Hukum,Teknologi Informasi dan Komunikasi,Hukum
622,Evaluasi Kinerja Badan Usaha Milik Negara (BUMN) dalam Pengelolaan Sumber Daya Alam dan Lingkungan Hidup,Hukum,Politik dan Pemerintahan
623,Tinjauan terhadap Perlindungan Hukum terhadap Keanekaragaman Budaya dan Ekspresi Budaya: Penilaian Efektivitas Kebijakan Hukum dalam Menghormati dan Melindungi Budaya Lokal dan Adat,Hukum,Seni dan Budaya
624,Analisis Dampak Kebijakan Pemerintah terhadap Pengembangan Infrastruktur Digital dan E-Government,Politik dan Pemerintahan,Teknologi Informasi dan Komunikasi
625,Tinjauan atas Implementasi Program Pendidikan Agama dan Kepercayaan di Sekolah: Penilaian Efektivitas dan Dampak pada Pemahaman dan Toleransi Antaragama Siswa,Pendidikan,Agama dan Kepercayaan
626,Peran Partai Politik dalam Mendorong Pengembangan Infrastruktur Olahraga dan Rekreasi,Olahraga dan Rekreasi,Politik dan Pemerintahan
627,Persepsi Pelaku Industri terhadap Tantangan dan Peluang dalam Menghadapi Perubahan Permintaan Pariwisata,Bisnis dan Industri,Pariwisata
628,Tinjauan terhadap Dampak Pelanggaran Hukum terhadap Pariwisata: Persepsi dan Pengalaman Masyarakat dalam Berhadapan dengan Kasus-kasus Hukum terkait Pariwisata,Hukum,Pariwisata
629,Hubungan antara Aktivitas Fisik dan Kualitas Hidup pada Individu yang Terlibat dalam Kegiatan Olahraga dan Rekreasi: Studi Kasus pada Komunitas,Kesehatan,Olahraga dan Rekreasi
630,Evaluasi Peran Pendidikan dalam Membangun Kesadaran Lingkungan dan Konservasi Siswa: Studi Kasus tentang Program-Program Pendidikan Lingkungan di Sekolah,Pendidikan,Lingkungan dan Konservasi
631,Peran Agama dan Kepercayaan dalam Menyokong Prinsip-prinsip Hukum dan Kemanusiaan,Agama dan Kepercayaan,Hukum
632,Persepsi Masyarakat tentang Dampak Pertanian dan Perikanan terhadap Lingkungan dan Konservasi,Lingkungan dan Konservasi,Pertanian dan Perikanan
633,Penilaian Terhadap Keamanan dan Pelayanan Transportasi bagi Kelompok Rentan dan Penyandang Disabilitas,Transportasi dan Logistik,Sosial dan Kemanusiaan
634,Studi Tentang Tantangan dan Reformasi Sistem Peradilan dalam Mewujudkan Keadilan,Politik dan Pemerintahan,Hukum
635,Persepsi Stakeholder tentang Tanggung Jawab Sosial dan Etika dalam Sektor Pertanian dan Perikanan,Pertanian dan Perikanan,Sosial dan Kemanusiaan
636,Persepsi Masyarakat tentang Dampak Kegiatan Perikanan dan Pertanian terhadap Kesejahteraan Sosial dan Kemanusiaan,Sosial dan Kemanusiaan,Pertanian dan Perikanan
637,Dampak Bisnis dan Industri terhadap Kesejahteraan Sosial dan Kemanusiaan,Sosial dan Kemanusiaan,Bisnis dan Industri
638,Dampak Pariwisata Medis terhadap Infrastruktur Kesehatan Lokal: Studi Kasus pada Destinasi Pariwisata Medis di Indonesia,Kesehatan,Pariwisata
639,Studi Tentang Inovasi Bisnis dalam Meningkatkan Efisiensi dan Keberlanjutan Sektor Pertanian dan Perikanan,Bisnis dan Industri,Pertanian dan Perikanan
640,Persepsi dan Perilaku Keuangan Terkait Partisipasi dalam Kegiatan Olahraga dan Rekreasi,Olahraga dan Rekreasi,Keuangan
641,Penilaian Efektivitas Program Seni dan Budaya dalam Menangani Isu-isu Sosial dan Kemanusiaan,Seni dan Budaya,Sosial dan Kemanusiaan
642,Penilaian Terhadap Peran Pemerintah dalam Meningkatkan Pendidikan Inklusif dan Merata,Politik dan Pemerintahan,Pendidikan
643,Preferensi dan Kepuasan Wisatawan terkait Aktivitas Rekreasi di Destinasi Pariwisata,Pariwisata,Olahraga dan Rekreasi
644,Pandangan Masyarakat terhadap Keterkaitan Agama/Kepercayaan dan Kesehatan serta Kemanusiaan,Agama dan Kepercayaan,Kesehatan
645,Penilaian Terhadap Peran Pemerintah dalam Peningkatan Kesejahteraan Petani dan Nelayan,Politik dan Pemerintahan,Pertanian dan Perikanan
646,Kepuasan Pengusaha terhadap Peluang Bisnis di Sektor Pariwisata,Pariwisata,Bisnis dan Industri
647,Kontribusi Olahraga dalam Mempromosikan Inklusi Sosial dan Kreativitas dalam Masyarakat,Sosial dan Kemanusiaan,Olahraga dan Rekreasi
648,Evaluasi Pengaruh Pariwisata terhadap Kondisi Keuangan Lokal,Keuangan,Pariwisata
649,Survei Kepuasan Petani dan Nelayan terhadap Layanan Transportasi dan Logistik dalam Distribusi Hasil Pertanian dan Perikanan,Transportasi dan Logistik,Pertanian dan Perikanan
650,Studi Tentang Tantangan dan Peluang dalam Mengadopsi Teknologi dalam Industri Transportasi dan Logistik,Bisnis dan Industri,Transportasi dan Logistik
651,Persepsi Masyarakat tentang Tanggung Jawab Individu dalam Menjaga Lingkungan dan Konservasi untuk Generasi Mendatang,Sosial dan Kemanusiaan,Lingkungan dan Konservasi
652,Evaluasi Kualitas Transportasi dan Logistik dalam Pengembangan Pariwisata,Pariwisata,Transportasi dan Logistik
653,Tantangan dan Peluang dalam Mengintegrasikan Transportasi dan Logistik dengan Kegiatan Olahraga dan Rekreasi,Olahraga dan Rekreasi,Transportasi dan Logistik
654,Persepsi dan Sikap Masyarakat terhadap Isu-isu Hukum Kontemporer: Tinjauan terhadap Pandangan Masyarakat tentang Isu-isu Hukum yang Sedang Berkembang,Hukum,Hukum
655,Evaluasi Dampak Ekonomi Beban Penyakit terhadap Keuangan Rumah Tangga: Studi Kasus pada Keluarga dengan Anggota yang Menderita Penyakit Kronis,Kesehatan,Keuangan
656,Dampak Teknologi Virtual dan Augmented Reality dalam Memperkaya Pengalaman Olahraga dan Rekreasi,Olahraga dan Rekreasi,Teknologi Informasi dan Komunikasi
657,Pengaruh Seni dan Budaya terhadap Bisnis dan Industri Kreatif,Seni dan Budaya,Bisnis dan Industri
658,Persepsi Masyarakat tentang Tantangan dan Peluang dalam Mengadopsi Teknologi Informasi dan Komunikasi dalam Pengelolaan Keuangan Pribadi,Teknologi Informasi dan Komunikasi,Keuangan
659,Evaluasi Program Kesehatan Masyarakat dalam Kaitannya dengan Kebijakan Politik dan Manajemen Pemerintahan,Kesehatan,Politik dan Pemerintahan
660,Evaluasi Dampak Program Keuangan terhadap Pengentasan Kemiskinan dan Ketimpangan Sosial,Keuangan,Sosial dan Kemanusiaan
661,Survei Keterhubungan Antara Kualitas Produk Pertanian dan Perikanan dengan Kesehatan Masyarakat,Pertanian dan Perikanan,Kesehatan
662,Tinjauan Mengenai Peran Keuangan dalam Mendukung Proyek Konservasi dan Keberlanjutan Lingkungan,Keuangan,Lingkungan dan Konservasi
663,Praktik Agama/Kepercayaan dan Dampaknya terhadap Kesehatan dan Kemanusiaan,Agama dan Kepercayaan,Kesehatan
664,Dampak Wisata Olahraga dan Rekreasi terhadap Ekonomi Lokal di Destinasi Pariwisata,Pariwisata,Olahraga dan Rekreasi
665,Survei Kepuasan Wisatawan terhadap Destinasi Pariwisata dan Pelayanan Publik,Politik dan Pemerintahan,Pariwisata
666,"Tantangan dan Peluang dalam Menggabungkan Aspek Seni, Budaya, dan Bisnis dalam Konteks Industri",Seni dan Budaya,Bisnis dan Industri
667,Studi Tentang Peran Agama dalam Pengelolaan Keuangan Pribadi dan Bisnis,Agama dan Kepercayaan,Keuangan
668,Studi Tentang Tantangan dan Inovasi dalam Penanganan Bencana dan Krisis Kemanusiaan,Politik dan Pemerintahan,Sosial dan Kemanusiaan
669,Peran Seni dan Budaya dalam Pengembangan Pariwisata Lokal,Seni dan Budaya,Pariwisata
670,Persepsi Masyarakat tentang Peran Agama dan Kepercayaan dalam Pelestarian Lingkungan dan Konservasi Alam,Lingkungan dan Konservasi,Agama dan Kepercayaan
671,Analisis Pengaruh Teknologi Informasi dan Komunikasi dalam Penyebaran Nilai-nilai Keagamaan,Agama dan Kepercayaan,Teknologi Informasi dan Komunikasi
672,Studi Tentang Pengembangan Bisnis Berbasis Agama dan Kepercayaan,Agama dan Kepercayaan,Bisnis dan Industri
673,Persepsi Masyarakat tentang Peran Seni dan Budaya dalam Mempromosikan Kemanusiaan dan Kesejahteraan Sosial,Sosial dan Kemanusiaan,Seni dan Budaya
674,Transparansi dan Akuntabilitas Pemerintah dalam Pengembangan Pariwisata,Pariwisata,Politik dan Pemerintahan
675,Persepsi Masyarakat terhadap Aksesibilitas Transportasi dalam Mendapatkan Pelayanan Kesehatan,Transportasi dan Logistik,Kesehatan
676,Studi Tentang Kolaborasi antara Bisnis dan Dunia Seni dalam Mendorong Pertumbuhan Ekonomi Kreatif,Bisnis dan Industri,Seni dan Budaya
677,Persepsi Wisatawan terhadap Kearifan Lokal dan Tradisi di Destinasi Pariwisata,Pariwisata,Seni dan Budaya
678,Persepsi Masyarakat tentang Pendidikan Inklusif dan Sosial dalam Konteks Kemanusiaan,Sosial dan Kemanusiaan,Pendidikan
679,Hubungan antara Gizi dan Kesehatan Masyarakat dengan Produksi Pertanian dan Perikanan: Analisis Keterkaitan dan Implikasi Kebijakan,Kesehatan,Pertanian dan Perikanan
680,Analisis Dampak Infrastruktur Transportasi terhadap Peningkatan Aksesibilitas dan Efisiensi dalam Sektor Pertanian dan Perikanan,Transportasi dan Logistik,Pertanian dan Perikanan
681,Dampak Agama dalam Pengembangan Destinasi Wisata Spiritual,Agama dan Kepercayaan,Pariwisata
682,Efektivitas Regulasi Hukum dalam Mendukung Konservasi Lingkungan dan Sumber Daya Alam,Lingkungan dan Konservasi,Hukum
683,Preferensi Masyarakat dalam Menggabungkan Seni dan Budaya dengan Olahraga dan Rekreasi,Seni dan Budaya,Olahraga dan Rekreasi
684,Penggunaan Teknologi Informasi dan Komunikasi dalam Meningkatkan Pengalaman dan Performa dalam Olahraga dan Aktivitas Kreatif,Teknologi Informasi dan Komunikasi,Olahraga dan Rekreasi
685,Pengaruh Teknologi Informasi dan Komunikasi terhadap Motivasi dan Keterlibatan Siswa dalam Pembelajaran: Studi Kasus pada Penggunaan Aplikasi dan Platform Digital di Sekolah,Pendidikan,Teknologi Informasi dan Komunikasi
686,Dampak Sistem Hukum terhadap Perlindungan Hak Asasi Manusia dan Kesetaraan Sosial,Sosial dan Kemanusiaan,Hukum
687,Persepsi Masyarakat tentang Peran Teknologi Informasi dan Komunikasi dalam Mendorong Kesadaran Sosial dan Kemanusiaan,Teknologi Informasi dan Komunikasi,Sosial dan Kemanusiaan
688,Persepsi Masyarakat tentang Etika dan Tanggung Jawab Teknologi Informasi dan Komunikasi dalam Masyarakat,Teknologi Informasi dan Komunikasi,Sosial dan Kemanusiaan
689,Dampak Keterlibatan Orang Tua dalam Pendidikan Anak: Tinjauan tentang Partisipasi dan Dukungan Orang Tua dalam Proses Pembelajaran,Pendidikan,Pendidikan
690,Penilaian Kebijakan dan Infrastruktur yang Mendukung Pariwisata Pertanian dan Perikanan,Pertanian dan Perikanan,Pariwisata
691,Evaluasi Program Pendidikan Lingkungan untuk Meningkatkan Kesadaran dan Aksi Konservasi Masyarakat,Lingkungan dan Konservasi,Pendidikan
692,Penilaian Terhadap Peran Industri Teknologi dalam Mendorong Transformasi Digital di Organisasi,Bisnis dan Industri,Teknologi Informasi dan Komunikasi
693,Analisis Dampak Kegiatan Olahraga Terhadap Spiritualitas dan Kepercayaan Agama,Agama dan Kepercayaan,Olahraga dan Rekreasi
694,Penilaian Terhadap Etika Penggunaan Teknologi oleh Pemuka Agama dan Umatnya,Agama dan Kepercayaan,Teknologi Informasi dan Komunikasi
695,Persepsi Masyarakat tentang Kualitas Layanan Medis dan Implikasinya dalam Kasus Malpraktik: Survei pada Masyarakat di Kota Surabaya,Kesehatan,Hukum
696,Preferensi Transportasi yang Digunakan oleh Wisatawan saat Berlibur,Pariwisata,Transportasi dan Logistik
697,Persepsi Masyarakat terhadap Dampak Pariwisata terhadap Kondisi Lingkungan dan Budaya Lokal,Transportasi dan Logistik,Pariwisata
698,Persepsi Masyarakat tentang Keberlanjutan dan Inovasi dalam Bisnis dan Industri untuk Mempertahankan Lingkungan,Lingkungan dan Konservasi,Bisnis dan Industri
699,Evaluasi Dampak Program Olahraga dan Rekreasi terhadap Penurunan Risiko Penyakit Kronis: Penilaian Efektivitas pada Peserta Program di Daerah Yogyakarta,Kesehatan,Olahraga dan Rekreasi
700,Pengaruh Pendidikan Hukum terhadap Sikap dan Perilaku Hukum Siswa: Studi Kasus tentang Kontribusi Pendidikan Hukum dalam Membentuk Etika dan Tanggung Jawab Hukum,Hukum,Pendidikan
701,Persepsi Masyarakat tentang Peran Hukum dalam Mempromosikan Keadilan Sosial dan Kemanusiaan,Sosial dan Kemanusiaan,Hukum
702,Penerimaan dan Penggunaan Aplikasi dan Platform Kesehatan Berbasis Teknologi Informasi dan Komunikasi oleh Masyarakat,Teknologi Informasi dan Komunikasi,Kesehatan
703,Evaluasi Keefektifan Kebijakan Pajak dan Regulasi Keuangan dalam Mendukung Pertumbuhan Industri Pariwisata,Keuangan,Pariwisata
704,Studi Mengenai Dampak Praktik Pertanian dan Perikanan terhadap Keberlanjutan Lingkungan dan Kesehatan,Pertanian dan Perikanan,Kesehatan
705,Peran Pariwisata dalam Meningkatkan Kesadaran Sosial dan Kemanusiaan di Komunitas Lokal,Sosial dan Kemanusiaan,Pariwisata
706,Penggunaan Teknologi Ramah Lingkungan dalam Praktik Olahraga dan Rekreasi,Olahraga dan Rekreasi,Lingkungan dan Konservasi
707,Konsep Kreativitas dan Lingkungan dalam Praktik Seni dan Budaya Berkelanjutan,Lingkungan dan Konservasi,Seni dan Budaya
708,Penilaian Terhadap Ketersediaan dan Kualitas Layanan Transportasi dalam Mendukung Pasar Pertanian dan Perikanan,Transportasi dan Logistik,Pertanian dan Perikanan
709,Dampak Ekonomi dan Keuangan dari Industri Olahraga dan Rekreasi,Olahraga dan Rekreasi,Keuangan
710,Peran Olahraga dan Rekreasi dalam Mendorong Kesadaran dan Pemahaman akan Isu Lingkungan dan Konservasi,Olahraga dan Rekreasi,Lingkungan dan Konservasi
711,Persepsi Masyarakat terhadap Kontribusi Sektor Pertanian dan Perikanan dalam Perekonomian Nasional,Politik dan Pemerintahan,Pertanian dan Perikanan
712,Evaluasi Dampak Nilai-nilai Agama dan Kepercayaan terhadap Etika Lingkungan di Sektor Pertanian dan Perikanan,Pertanian dan Perikanan,Agama dan Kepercayaan
713,Survei Kepuasan Konsumen terhadap Produk Pertanian dan Perikanan dari Industri,Bisnis dan Industri,Pertanian dan Perikanan
714,Penilaian Terhadap Praktik Olahraga Berbasis Agama dalam Komunitas,Agama dan Kepercayaan,Olahraga dan Rekreasi
715,Evaluasi Peran Hukum dalam Menjamin Keadilan dan Keamanan dalam Transaksi dan Investasi Keuangan,Keuangan,Hukum
716,Evaluasi Efektivitas dan Kepatuhan Regulasi Hukum dalam Industri Pariwisata,Pariwisata,Hukum
717,Pengaruh Beban Biaya Kesehatan terhadap Akses dan Pemanfaatan Pelayanan Kesehatan: Studi Kasus pada Masyarakat Berpendapatan Rendah di Kota Padang,Kesehatan,Keuangan
718,Survei Tentang Peran Pemuka Agama dalam Politik dan Pemerintahan,Agama dan Kepercayaan,Politik dan Pemerintahan
719,Penilaian Keterlibatan Lembaga Keuangan dalam Mendukung Keuangan Pertanian dan Perikanan,Keuangan,Pertanian dan Perikanan
720,Dampak Teknologi Informasi dan Komunikasi terhadap Inovasi dalam Praktik Konservasi Lingkungan,Teknologi Informasi dan Komunikasi,Lingkungan dan Konservasi
